COEFF,DEFINITIONS,UNIT,CATEGORY,SOURCE_FILE,FILE_DESCRIPTION,DSSAT_VERSION
WMAX_CF(2),Cultivar parameter for quadratic equation defining leaf width,NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
WMAX_CF(3),Cultivar parameter for quadratic equation defining leaf width,NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
POPCF(1),"Stalk population coefficient, in ideal conditions (no stresses), as function of th.time",NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
POPCF(2),"Stalk population coefficient, in ideal conditions (no stresses), as function of th.time",NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
POPDECAY,Tiller senescence rate expressed as the fraction of tillers above the future mature tiller population (Varies from 3.0 to 5.0),NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
TTBASEEM,Base temperature for emergence,oC,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
TTBASELFEX,Base temperature for leaf phenology,oC,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
TTBASEPOP,Base temperature for stalk phenology,oC,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
TBASEPER,Base temperature for plant extension,oC,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
LG_AMRANGE,Range in aerial mass from the start to the end of lodging,t/ha,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
LG_GP_REDUC,"Reduction in gross photosynthesis due to full lodging, as a fraction",NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
LG_FI_REDUC,Reduction in fractional interception by the canopy due to full lodging ,NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
PEAR,Parameter controlling ear C partitioning during ear growth,NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
PSTM,"Parameter controlling stem C partitioning during ISTAGES 3, 4 (0-1) Higher PSTM, more DM into stem, less into leaves",NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
RDRMT,Relative dormancy sensitivity of this cultivar to daylength - partitioning (0-1),NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
RDRMG,Relative dormancy sensitivity of this cultivar to daylength - photosynthesis (0-1),NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
RDRMM,Relative dormancy sensitivity of this cultivar to daylength - mobilization (0-1),NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
RCHDP,Relative cold hardening potential (0-1),NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
PGERM,Germination duration,Tu,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
WFSU,Water stress factor for leaf senescence (0-1),NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
SRN%S,Storage root standard N concentration,% dm,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
TBLSZ,Base temperature for leaf development,oC,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
RSUSE,Reserves remobilization fraction (storage roots for top growth),fr,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
RLWR,Root length/weight ratio,m/g,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
RDGS," Root depth growth rate,standard",cm/standard day,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
PHTV,"Photosynthesis and transpiration,threshold VPD for reduction in rate (kPa) (hourly effect, MEPHO = V)",NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
PHSV,"Photosynthesis and transpiration,sensitivity to VPD (fraction/kPa) (hourly effect, MEPHO = V)",NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
SFMXL,Leaf number above which stem fraction at maximum,#,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
SFMNL,Leaf number below which stem fraction at minimum,#,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
SWFRN,"Stem fraction,minimum",fr,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
SWFRX,"Stem fraction,maximum",fr,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
DUSRI,Degree days at which storage root number determined,oC-days,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
SSPHS,Stem senescence (final) phase start stage (GrowthStage),NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
SSPHE,Stem senescence (final) phase end stage (GrowthStage),NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
RTNUP,NO3 uptake/root length,mg N/cm.day,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
RS%A,Reserves concentration in tops at start of anthesis (%),%,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
RDGS,"Root depth growth rate,standard",cm/standard day,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
NUPWF,"Soil water effect on N uptake adjustment factor (0-2;1.0=no effect,1=standard)",NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
NUPNF,"NO3 uptake vs conc exponent adjustment factor (0-2;0=no uptake,1=standard)",NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
LSENI,"Leaf senescence,intermediate phases",%/standard day,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
GWTAT,Grain weight adjustment threshold,kg/ha canopy weight at anthesis,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
GWTAF,Grain weight adjustment factor,fr/10000kg/ha canopy wt>threshold,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
GM%H,Grain moisture percentage at harvest,%,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
G#RF,Grain number radiation factor,fr increase/(MJ/m2.d) radiation in phase 5,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
TODO,TODO,TODO,SPECIES,*.SPE,SPECIES COEFFICIENTS,DSSAT v4.8
